timestamp,t_mono,angle_deg,SGD_pred,RLS_pred,RF_pred,LSTM_pred,GRU_pred,ENS_pred,m1,m2,m3,grav_raw,grav_env,servo_src
2026-06-22T18:22:51.640475,1782132771.640481,133.78451015567575,,,,,,,45,0,0,1734,5.234919753917065,ENS
2026-06-22T18:22:51.704723,1782132771.7047281,133.7617749835965,,133.6509928138547,,,,133.6509928138547,16,0,0,1700,7.165667424838536,ENS
2026-06-22T18:22:51.772626,1782132771.77263,134.01176861728456,,133.84793753656567,,,,133.84793753656567,0,0,0,1702,3.6277249664343945,ENS
2026-06-22T18:22:51.840346,1782132771.840349,133.8944926600669,,133.33221398320555,,,,133.33221398320555,12,0,0,1667,2.0532075219056187,ENS
2026-06-22T18:22:51.906113,1782132771.906116,133.49272948176295,,129.00613691915632,,,,129.00613691915632,27,0,0,1696,5.046764787382928,ENS
2026-06-22T18:22:51.971438,1782132771.97144,133.53539402860602,,130.153192703221,,,,130.153192703221,0,0,0,1693,7.14631390813377,ENS
2026-06-22T18:22:52.040662,1782132772.040666,133.64449902637884,,133.7723270304204,,,,133.7723270304204,48,0,0,1698,3.626292016867179,ENS
2026-06-22T18:22:52.105080,1782132772.105083,133.49272948176295,,133.5838958262392,,,,133.5838958262392,0,0,0,1693,3.4002259267710193,ENS
2026-06-22T18:22:52.171967,1782132772.1719701,133.78451015567575,,133.7479436826613,,,,133.7479436826613,0,0,0,1703,5.413378968955443,ENS
2026-06-22T18:22:52.238739,1782132772.238743,133.49272948176295,,133.8915823462587,,,,133.8915823462587,22,0,0,1703,5.079005319010924,ENS
2026-06-22T18:22:52.304025,1782132772.304029,133.78451015567575,67.8380563981139,133.21500140550643,,,,97.48629649652963,26,0,0,1705,7.832729483144672,ENS
2026-06-22T18:22:52.368431,1782132772.368435,133.49272948176295,60.542866224554686,133.75283689808336,,,,93.25642529519587,12,0,0,1695,9.912536784291898,ENS
2026-06-22T18:22:52.439143,1782132772.439146,133.7617749835965,81.98286901021615,133.62777063818038,,,,132.71436599675795,16,0,0,1718,3.444048410283348,ENS
2026-06-22T18:22:52.504388,1782132772.504391,133.80482296147346,91.75737225001401,133.58181479991535,,,,132.8675452233452,0,0,0,1686,9.51324230955876,ENS
2026-06-22T18:22:52.572375,1782132772.5723798,133.80482296147346,89.06309592243308,133.9193006622132,,,,133.10231258707574,0,0,0,1699,12.217887720382556,ENS
2026-06-22T18:22:52.640348,1782132772.640352,133.7617749835965,73.67966929271849,134.03896385532204,,,,132.89459107091525,0,0,0,1698,13.70066367083021,ENS
2026-06-22T18:22:52.705455,1782132772.705458,133.7617749835965,79.94532930604758,133.81447616712325,,,,132.76640585752722,16,0,0,1695,0.6358200405659838,ENS
2026-06-22T18:22:52.772255,1782132772.772259,133.7617749835965,43.470905995182214,133.69561131671026,,,,131.96609870173938,55,0,0,1706,4.120615277895709,ENS
2026-06-22T18:22:52.840007,1782132772.840014,133.7617749835965,45.386873840438874,133.71693507235722,,,,132.0796943856578,22,0,0,1701,9.056562529691737,ENS
2026-06-22T18:22:52.906043,1782132772.906046,133.53539402860602,42.92501774604256,133.7432590141436,,,,132.14761974179416,51,0,0,1709,4.30176414026601,ENS
2026-06-22T18:22:52.971204,1782132772.971207,133.65266998582368,105.95360805144105,133.677428651872,,,,133.20524725735658,0,0,0,1693,3.6538242045100544,ENS
2026-06-22T18:22:53.040657,1782132773.040662,133.65266998582368,102.12567863128693,133.67723010251427,,,,133.10856552243257,0,0,0,1706,4.122931410636395,ENS
2026-06-22T18:22:53.104822,1782132773.10483,133.87887520782857,101.62745977654329,133.72577450040313,,,,133.1272059015817,35,0,0,1709,5.674537746230956,ENS
2026-06-22T18:22:53.170970,1782132773.170974,133.65266998582368,101.94750875136768,133.70356740723565,,,,133.0918900517211,0,0,0,1693,1.2780119886549846,ENS
