timestamp,t_mono,m1,m2,m3,grav_raw,grav_env
2026-06-22T19:37:45.487197,1782137265.437688,0,0,0,1723,0.0
2026-06-22T19:37:45.487436,1782137265.487294,7,0,0,1693,0.010858536234929848
2026-06-22T19:37:45.487517,1782137265.487454,29,0,0,1691,0.10103849627918737
2026-06-22T19:37:45.487581,1782137265.487527,21,0,0,1701,0.42820502791451265
2026-06-22T19:37:45.487643,1782137265.4875891,7,0,0,1707,1.1374688656938456
2026-06-22T19:37:45.487726,1782137265.4876502,10,0,0,1712,2.202661051632064
2026-06-22T19:37:45.488107,1782137265.487743,9,0,0,1705,3.3993540246523466
2026-06-22T19:37:45.488544,1782137265.488141,31,0,0,1694,4.383593887315794
2026-06-22T19:37:45.488771,1782137265.4885929,7,0,0,1705,4.815861809407617
2026-06-22T19:37:45.489191,1782137265.48881,64,0,0,1709,4.550455489903226
2026-06-22T19:37:45.489271,1782137265.4892101,7,0,0,1710,3.7525980717679976
2026-06-22T19:37:45.489395,1782137265.489291,35,0,0,1696,2.783221071328892
2026-06-22T19:37:45.489640,1782137265.489493,14,0,0,1706,1.969734339304699
2026-06-22T19:37:45.489734,1782137265.4896588,0,0,0,1696,1.5046606436059338
2026-06-22T19:37:45.489801,1782137265.489742,0,0,0,1710,1.4857275523557458
2026-06-22T19:37:45.489896,1782137265.4898078,13,0,0,1705,1.9139259328179934
2026-06-22T19:37:45.490010,1782137265.489923,29,0,0,1697,2.6131047517755386
2026-06-22T19:37:45.490066,1782137265.4900181,13,0,0,1698,3.262643800071011
2026-06-22T19:37:45.490117,1782137265.4900732,0,0,0,1706,3.6148021283354863
2026-06-22T19:37:45.490167,1782137265.490123,2,0,0,1712,3.6488377244984207
2026-06-22T19:37:45.490220,1782137265.490175,48,0,0,1707,3.4685982697526443
2026-06-22T19:37:45.490280,1782137265.490226,23,0,0,1683,3.1449841392230065
2026-06-22T19:37:45.490335,1782137265.490286,9,0,0,1701,2.7358324451773175
2026-06-22T19:37:45.493703,1782137265.49034,32,0,0,1702,2.385403657628842
2026-06-22T19:37:45.493820,1782137265.493721,64,0,0,1713,2.3089756868896405
2026-06-22T19:37:45.494208,1782137265.493838,10,0,0,1699,2.62065335975651
2026-06-22T19:37:45.494286,1782137265.494216,7,0,0,1698,3.186483165586504
2026-06-22T19:37:45.494386,1782137265.494296,7,0,0,1707,3.696788670604547
2026-06-22T19:37:45.494452,1782137265.4943979,65,0,0,1711,3.8851997706711905
2026-06-22T19:37:45.494503,1782137265.494459,4,0,0,1707,3.7267473470344465
2026-06-22T19:37:45.494568,1782137265.494509,16,0,0,1707,3.438355712119534
2026-06-22T19:37:45.494631,1782137265.494574,10,0,0,1697,3.223293407237554
