timestamp,t_mono,angle_deg,SGD_pred,RLS_pred,RF_pred,LSTM_pred,GRU_pred,ENS_pred,m1,m2,m3,grav_raw,grav_env,servo_src
2026-06-22T19:38:13.332275,1782137293.332281,119.22344572017674,,,,,,,16,0,0,1699,7.65789827086903,ENS
2026-06-22T19:38:13.403810,1782137293.403818,119.08533258140037,,119.10446036427284,,,,119.10446036427284,0,0,0,1774,0.41906801514045544,ENS
2026-06-22T19:38:13.469273,1782137293.4692779,119.41645199031075,,119.10450412769143,,,,119.10450412769143,13,0,0,1697,5.23621377020604,ENS
2026-06-22T19:38:13.536157,1782137293.536161,118.94235231651412,,120.88251751206873,,,,120.88251751206873,0,0,0,1696,18.969873952477847,ENS
2026-06-22T19:38:13.603469,1782137293.603478,119.24665289284596,,124.99774819417927,,,,124.99774819417927,19,0,0,1723,3.7948422802224573,ENS
2026-06-22T19:38:13.669587,1782137293.669591,119.24472743733996,,121.14845990898257,,,,121.14845990898257,16,0,0,1723,2.9889881720547016,ENS
2026-06-22T19:38:13.734137,1782137293.734142,119.21618036484863,,120.13755464184551,,,,120.13755464184551,17,0,0,1711,6.0598017291942785,ENS
2026-06-22T19:38:13.804013,1782137293.8040168,119.2722921834997,,120.23408672502192,,,,120.23408672502192,59,0,0,1696,4.070087811063424,ENS
2026-06-22T19:38:13.867330,1782137293.867334,119.2722921834997,,119.80210772607879,,,,119.80210772607879,98,0,0,1693,1.0591031147026457,ENS
2026-06-22T19:38:13.936433,1782137293.93644,119.46742206381973,,119.10617612110445,,,,119.10617612110445,0,0,0,1711,0.8368074578671467,ENS
2026-06-22T19:38:14.004897,1782137294.004898,119.30182778641688,121.82341567025881,119.27367978298373,,,,120.94983188630671,27,0,0,1696,6.084925337929887,ENS
2026-06-22T19:38:14.068775,1782137294.06878,119.13623627540433,110.01176161600863,119.28707601479626,,,,113.290703726096,0,0,0,1710,5.538571021401583,ENS
2026-06-22T19:38:14.136208,1782137294.136214,119.30247274155184,108.53336030235371,119.26691634842742,,,,117.82225732191783,34,0,0,1680,4.208888803997074,ENS
2026-06-22T19:38:14.201993,1782137294.201997,119.41836060902499,105.72657394918039,119.25955830843388,,,,117.74161586817978,16,0,0,1707,3.4500350340179886,ENS
2026-06-22T19:38:14.268246,1782137294.2682528,119.44702364892456,109.48193161761938,119.33546737035546,,,,118.36635281667125,33,0,0,1741,5.723815151212576,ENS
