timestamp,t_mono,m1,m2,m3,grav_raw,grav_env
2026-06-22T18:22:30.940647,1782132750.9361112,31,0,0,1707,0.0
2026-06-22T18:22:30.940761,1782132750.940688,31,0,0,1707,0.0
2026-06-22T18:22:30.940836,1782132750.9407701,31,0,0,1707,0.0
2026-06-22T18:22:30.940903,1782132750.940844,31,0,0,1707,0.0
2026-06-22T18:22:30.940959,1782132750.9409091,31,0,0,1707,0.0
2026-06-22T18:22:30.941011,1782132750.9409652,31,0,0,1707,0.0
2026-06-22T18:22:30.941065,1782132750.941016,31,0,0,1707,0.0
2026-06-22T18:22:30.941122,1782132750.941071,31,0,0,1707,0.0
2026-06-22T18:22:30.941171,1782132750.9411268,31,0,0,1707,0.0
2026-06-22T18:22:30.941228,1782132750.9411762,31,0,0,1707,0.0
2026-06-22T18:22:30.941283,1782132750.9412348,31,0,0,1707,0.0
2026-06-22T18:22:30.941339,1782132750.941288,31,0,0,1707,0.0
2026-06-22T18:22:30.941391,1782132750.941344,31,0,0,1707,0.0
2026-06-22T18:22:30.941446,1782132750.941396,31,0,0,1707,0.0
2026-06-22T18:22:30.941498,1782132750.941451,31,0,0,1707,0.0
2026-06-22T18:22:30.941554,1782132750.941503,31,0,0,1707,0.0
2026-06-22T18:22:30.941606,1782132750.94156,31,0,0,1707,0.0
2026-06-22T18:22:30.941661,1782132750.941611,31,0,0,1707,0.0
2026-06-22T18:22:30.941715,1782132750.941667,31,0,0,1707,0.0
2026-06-22T18:22:30.941772,1782132750.94172,31,0,0,1707,0.0
2026-06-22T18:22:30.941834,1782132750.941782,31,0,0,1707,0.0
2026-06-22T18:22:30.941887,1782132750.9418392,31,0,0,1707,0.0
2026-06-22T18:22:30.941939,1782132750.941893,31,0,0,1707,0.0
2026-06-22T18:22:30.941988,1782132750.9419441,31,0,0,1707,0.0
2026-06-22T18:22:30.942036,1782132750.941993,31,0,0,1707,0.0
2026-06-22T18:22:30.942140,1782132750.9420412,31,0,0,1707,0.0
2026-06-22T18:22:30.942222,1782132750.942154,31,0,0,1707,0.0
2026-06-22T18:22:30.942292,1782132750.942231,31,0,0,1707,0.0
2026-06-22T18:22:30.942349,1782132750.942299,31,0,0,1707,0.0
2026-06-22T18:22:30.942400,1782132750.942355,31,0,0,1707,0.0
2026-06-22T18:22:30.942456,1782132750.942406,31,0,0,1707,0.0
2026-06-22T18:22:30.942511,1782132750.942462,31,0,0,1707,0.0
2026-06-22T18:22:30.942581,1782132750.942522,31,0,0,1707,0.0
2026-06-22T18:22:30.942636,1782132750.942587,31,0,0,1707,0.0
2026-06-22T18:22:30.942685,1782132750.9426408,31,0,0,1707,0.0
2026-06-22T18:22:30.942739,1782132750.9426901,31,0,0,1707,0.0
2026-06-22T18:22:30.942810,1782132750.942745,31,0,0,1707,0.0
2026-06-22T18:22:30.942921,1782132750.942816,31,0,0,1707,0.0
2026-06-22T18:22:30.943001,1782132750.942934,31,0,0,1707,0.0
2026-06-22T18:22:30.943067,1782132750.9430091,31,0,0,1707,0.0
2026-06-22T18:22:30.943132,1782132750.943081,31,0,0,1707,0.0
2026-06-22T18:22:30.943188,1782132750.9431381,31,0,0,1707,0.0
2026-06-22T18:22:30.943238,1782132750.9431942,31,0,0,1707,0.0
2026-06-22T18:22:30.943295,1782132750.943244,31,0,0,1707,0.0
2026-06-22T18:22:30.943346,1782132750.9433,31,0,0,1707,0.0
2026-06-22T18:22:30.943397,1782132750.943351,31,0,0,1707,0.0
2026-06-22T18:22:30.943451,1782132750.943402,31,0,0,1707,0.0
2026-06-22T18:22:30.943508,1782132750.943455,31,0,0,1707,0.0
2026-06-22T18:22:30.943560,1782132750.9435132,31,0,0,1707,0.0
2026-06-22T18:22:30.943609,1782132750.9435651,31,0,0,1707,0.0
2026-06-22T18:22:30.943658,1782132750.943615,31,0,0,1707,0.0
2026-06-22T18:22:30.943712,1782132750.9436631,31,0,0,1707,0.0
2026-06-22T18:22:30.943774,1782132750.943725,31,0,0,1707,0.0
2026-06-22T18:22:30.943823,1782132750.943779,31,0,0,1707,0.0
2026-06-22T18:22:30.943874,1782132750.9438279,31,0,0,1707,0.0
2026-06-22T18:22:30.943921,1782132750.943879,31,0,0,1707,0.0
2026-06-22T18:22:30.943969,1782132750.943926,31,0,0,1707,0.0
2026-06-22T18:22:30.944022,1782132750.9439738,31,0,0,1707,0.0
2026-06-22T18:22:30.944068,1782132750.944026,31,0,0,1707,0.0
2026-06-22T18:22:30.944117,1782132750.944072,31,0,0,1707,0.0
2026-06-22T18:22:30.944165,1782132750.944122,31,0,0,1707,0.0
2026-06-22T18:22:30.944214,1782132750.94417,31,0,0,1707,0.0
2026-06-22T18:22:30.944264,1782132750.9442198,31,0,0,1707,0.0
2026-06-22T18:22:30.944317,1782132750.9442701,31,0,0,1707,0.0
2026-06-22T18:22:30.944365,1782132750.944323,31,0,0,1707,0.0
2026-06-22T18:22:30.944423,1782132750.94437,31,0,0,1707,0.0
2026-06-22T18:22:30.944476,1782132750.944428,31,0,0,1707,0.0
2026-06-22T18:22:30.944529,1782132750.9444811,31,0,0,1707,0.0
2026-06-22T18:22:30.944578,1782132750.944534,31,0,0,1707,0.0
2026-06-22T18:22:30.944631,1782132750.944583,31,0,0,1707,0.0
2026-06-22T18:22:30.944680,1782132750.9446359,0,0,0,1701,0.0021717072469859856
2026-06-22T18:22:30.944728,1782132750.9446862,0,0,0,1701,0.02035247973897003
2026-06-22T18:22:30.944782,1782132750.9447339,0,0,0,1701,0.08772173998116321
2026-06-22T18:22:30.944835,1782132750.944788,0,0,0,1701,0.2357151089887676
2026-06-22T18:22:30.944894,1782132750.94484,0,0,0,1701,0.4547766508166602
2026-06-22T18:22:30.944942,1782132750.944899,0,0,0,1701,0.6879414691279255
2026-06-22T18:22:30.945004,1782132750.944948,0,0,0,1701,0.8616781161708879
2026-06-22T18:22:30.945066,1782132750.945011,0,0,0,1701,0.9197279456197401
2026-06-22T18:22:30.945115,1782132750.9450722,0,0,0,1701,0.8481507460307108
2026-06-22T18:22:30.945163,1782132750.94512,0,0,0,1701,0.6809387831522291
2026-06-22T18:22:30.945216,1782132750.945169,0,0,0,1701,0.4771518709076992
2026-06-22T18:22:30.945264,1782132750.9452212,0,0,0,1701,0.29022421935280773
2026-06-22T18:22:30.945312,1782132750.945269,0,0,0,1701,0.15286025321647578
2026-06-22T18:22:30.945368,1782132750.945317,0,0,0,1701,0.07663883195080601
2026-06-22T18:22:30.945421,1782132750.9453728,0,0,0,1701,0.05578856922273782
2026-06-22T18:22:30.945478,1782132750.945428,0,0,0,1701,0.07264108356529499
2026-06-22T18:22:30.945529,1782132750.945483,0,0,0,1701,0.105696828786975
2026-06-22T18:22:30.945583,1782132750.945535,0,0,0,1701,0.13715653811015296
2026-06-22T18:22:30.945632,1782132750.9455879,0,0,0,1701,0.1565306269340183
2026-06-22T18:22:30.945688,1782132750.945638,0,0,0,1701,0.16060060498127388
2026-06-22T18:22:30.945738,1782132750.945694,0,0,0,1701,0.1516102067780887
2026-06-22T18:22:30.945786,1782132750.945743,0,0,0,1701,0.1347897012009051
2026-06-22T18:22:30.945839,1782132750.945793,0,0,0,1701,0.11584030423353021
2026-06-22T18:22:30.945887,1782132750.945844,0,0,0,1701,0.09909603268603964
2026-06-22T18:22:30.945935,1782132750.945892,0,0,0,1701,0.08676808208046927
2026-06-22T18:22:30.945983,1782132750.94594,0,0,0,1701,0.07909586136842706
2026-06-22T18:22:30.946030,1782132750.9459882,0,0,0,1701,0.07498092121037551
2026-06-22T18:22:30.946078,1782132750.9460359,0,0,0,1701,0.07275695886478566
2026-06-22T18:22:30.946126,1782132750.946083,0,0,0,1701,0.07085784181238966
2026-06-22T18:22:30.946174,1782132750.946132,0,0,0,1701,0.06822935073181693
2026-06-22T18:22:30.946221,1782132750.9461792,0,0,0,1701,0.0644464588906961
2026-06-22T18:22:30.946268,1782132750.946226,0,0,0,1701,0.05960803231868023
2026-06-22T18:22:30.946316,1782132750.946274,0,0,0,1701,0.054122925239485455
2026-06-22T18:22:30.946363,1782132750.946321,0,0,0,1701,0.04848561370804
2026-06-22T18:22:30.946411,1782132750.946368,0,0,0,1701,0.04310579893748856
2026-06-22T18:22:30.946459,1782132750.9464161,0,0,0,1701,0.03822133371123728
2026-06-22T18:22:30.946509,1782132750.946464,0,0,0,1701,0.03389083018971544
2026-06-22T18:22:30.946557,1782132750.946514,0,0,0,1701,0.030039768783511344
2026-06-22T18:22:30.946607,1782132750.946563,0,0,0,1701,0.026527686848172274
2026-06-22T18:22:30.946654,1782132750.946612,0,0,0,1701,0.023210132546996075
2026-06-22T18:22:30.946702,1782132750.94666,0,0,0,1701,0.01997999313194404
2026-06-22T18:22:30.946751,1782132750.946708,0,0,0,1701,0.01678377194400633
2026-06-22T18:22:30.946800,1782132750.9467561,0,0,0,1701,0.013616948833578373
2026-06-22T18:22:30.946848,1782132750.946805,0,0,0,1701,0.010517184931434543
2026-06-22T18:22:30.946896,1782132750.9468532,0,0,0,1701,0.007588030194476185
2026-06-22T18:22:30.946943,1782132750.946901,0,0,0,1701,0.005042955038314824
2026-06-22T18:22:30.946991,1782132750.946948,0,0,0,1701,0.00318977356650672
2026-06-22T18:22:30.947038,1782132750.946996,0,0,0,1701,0.002317163010549461
2026-06-22T18:22:30.947085,1782132750.9470432,0,0,0,1701,0.002560161972632794
2026-06-22T18:22:30.947133,1782132750.94709,0,0,0,1701,0.0038391250681787444
2026-06-22T18:22:30.947770,1782132750.9477172,0,0,0,1701,0.00589287175405854
2026-06-22T18:22:30.947818,1782132750.947778,0,0,0,1701,0.008370079063124512
2026-06-22T18:22:30.947863,1782132750.9478242,0,0,0,1701,0.010930463658600344
2026-06-22T18:22:30.947910,1782132750.9478688,0,0,0,1701,0.013319326010710203
2026-06-22T18:22:30.947954,1782132750.947916,0,0,0,1701,0.01539966238766821
